row_type,step,update,episode,episode_return,episode_length,loss,policy_loss,value_loss,entropy
update,17280,135,134,,,5204.89404296875,0.05731746554374695,10409.6845703125,0.5180214643478394
episode,17303,136,134,-251.99899999999994,74,,,,
update,17408,136,135,,,4669.74609375,0.07010984420776367,9339.36328125,0.6080905199050903
episode,17426,137,135,-123.05999999999997,123,,,,
update,17536,137,136,,,1763.695556640625,0.17259061336517334,3527.05615234375,0.5162593126296997
episode,17556,138,136,-364.645,130,,,,
update,17664,138,137,,,5461.2451171875,0.15721601247787476,10922.1845703125,0.43423235416412354
episode,17667,139,137,-100.33699999999992,111,,,,
episode,17723,139,138,-319.13700000000006,56,,,,
episode,17777,139,139,-160.01800000000003,54,,,,
update,17792,139,140,,,8342.4794921875,0.11503855139017105,16684.73828125,0.4520285427570343
episode,17879,140,140,-231.33999999999997,102,,,,
update,17920,140,141,,,3779.716064453125,0.09660029411315918,7559.24951171875,0.5380184054374695
episode,17997,141,141,-151.35,118,,,,
update,18048,141,142,,,5151.2138671875,0.014178747311234474,10302.4091796875,0.5024446249008179
episode,18105,142,142,-51.45000000000019,108,,,,
update,18176,142,143,,,2821.643798828125,0.13603192567825317,5643.0263671875,0.5420292615890503
episode,18202,143,143,-325.611,97,,,,
episode,18303,143,144,-106.91700000000004,101,,,,
update,18304,143,145,,,9093.6455078125,0.05571286380290985,18187.1875,0.40584003925323486
episode,18412,144,145,-191.52300000000008,109,,,,
update,18432,144,146,,,6262.92724609375,0.019208796322345734,12525.828125,0.5777621865272522
episode,18541,145,146,-281.6999999999998,129,,,,
update,18560,145,147,,,4460.5498046875,0.06471049785614014,8920.978515625,0.4238884150981903
episode,18622,146,147,-125.05100000000002,81,,,,
update,18688,146,148,,,3510.9853515625,0.17734229564666748,7021.6259765625,0.48900312185287476
episode,18743,147,148,-295.087,121,,,,
update,18816,147,149,,,6258.974609375,0.02646062523126602,12517.904296875,0.395373672246933
episode,18853,148,149,-171.6529999999999,110,,,,
update,18944,148,150,,,5990.884765625,0.06694325059652328,11981.6455078125,0.4701952040195465
episode,18964,149,150,-430.83399999999995,111,,,,
update,19072,149,151,,,7617.8173828125,0.09639786183834076,15235.451171875,0.4468241035938263
episode,19098,150,151,-223.2079999999998,134,,,,
episode,19175,150,152,-214.70000000000002,77,,,,
update,19200,150,153,,,5507.849609375,0.16713301837444305,11015.373046875,0.37647414207458496
episode,19257,151,153,-229.89200000000002,82,,,,
update,19328,151,154,,,4145.1669921875,0.05041242018342018,8290.2412109375,0.40512850880622864
episode,19341,152,154,-267.36799999999994,84,,,,
episode,19442,152,155,-242.7179999999999,101,,,,
update,19456,152,156,,,4419.8017578125,0.03301661089062691,8839.546875,0.47760337591171265
episode,19499,153,156,-399.5480000000001,57,,,,
update,19584,153,157,,,5461.1591796875,0.1122794970870018,10922.103515625,0.5000166893005371
episode,19638,154,157,-25.967999999999975,139,,,,
update,19712,154,158,,,3636.98095703125,0.04620060324668884,7273.87841796875,0.43007636070251465
episode,19716,155,158,-200.6049999999999,78,,,,
episode,19836,155,159,-341.102,120,,,,
update,19840,155,160,,,7548.62451171875,0.0555916354060173,15097.1455078125,0.3978988528251648
episode,19922,156,160,-109.08600000000008,86,,,,
update,19968,156,161,,,1056.926025390625,9.470805525779724e-05,2113.861328125,0.4735782742500305
episode,20010,157,161,-188.29899999999998,88,,,,
update,20096,157,162,,,3982.65234375,0.11761719733476639,7965.0771484375,0.39472484588623047
episode,20104,158,162,-220.76999999999995,94,,,,
episode,20224,158,163,-713.6709999999999,120,,,,
update,20224,158,164,,,17547.248046875,0.017153922468423843,35094.46875,0.3211367130279541
episode,20306,159,164,-210.97299999999993,82,,,,
update,20352,159,165,,,2566.17138671875,0.11340281367301941,5132.1240234375,0.39985188841819763
episode,20423,160,165,-160.825,117,,,,
update,20480,160,166,,,5668.46923828125,0.2233070284128189,11336.5,0.39063769578933716
episode,20550,161,166,-102.1539999999996,127,,,,
update,20608,161,167,,,2820.28125,0.044416360557079315,5640.48046875,0.33651894330978394
episode,20715,162,167,-268.8889999999999,165,,,,
update,20736,162,168,,,5396.89599609375,0.025018662214279175,10793.748046875,0.27739688754081726
episode,20840,163,168,-312.115,125,,,,
update,20864,163,169,,,3403.3330078125,0.041687559336423874,6806.587890625,0.27781161665916443
episode,20973,164,169,-291.672,133,,,,
update,20992,164,170,,,4552.42529296875,0.0740918517112732,9104.7080078125,0.31080251932144165
episode,21074,165,170,-264.814,101,,,,
update,21120,165,171,,,3619.2548828125,-0.008482422679662704,7238.53466796875,0.4007621109485626
episode,21143,166,171,-227.039,69,,,,
episode,21240,166,172,-416.044,97,,,,
update,21248,166,173,,,8097.82080078125,0.09404738992452621,16195.4580078125,0.2682698369026184
episode,21371,167,173,-109.89900000000006,131,,,,
update,21376,167,174,,,2355.0830078125,0.06974037736654282,4710.03271484375,0.3085120618343353
episode,21449,168,174,-261.584,78,,,,
update,21504,168,175,,,3626.623046875,0.05226537212729454,7253.14794921875,0.3138306736946106
episode,21534,169,175,-370.076,85,,,,
update,21632,169,176,,,4622.97705078125,0.04208645969629288,9245.875,0.26223137974739075
episode,21646,170,176,-321.44100000000003,112,,,,
episode,21723,170,177,-250.02800000000005,77,,,,
update,21760,170,178,,,5573.083984375,0.059719353914260864,11146.0546875,0.30094069242477417
episode,21820,171,178,-124.61099999999993,97,,,,
episode,21881,171,179,-158.72299999999996,61,,,,
update,21888,171,180,,,4060.5185546875,0.009206850081682205,8121.02490234375,0.32323458790779114
episode,21947,172,180,-310.016,66,,,,
update,22016,172,181,,,4508.439453125,0.06441439688205719,9016.755859375,0.30289798974990845
episode,22035,173,181,-370.94500000000005,88,,,,
episode,22125,173,182,-246.49699999999993,90,,,,
update,22144,173,183,,,8615.603515625,0.10570012032985687,17231.001953125,0.33973586559295654
episode,22222,174,183,-320.22800000000007,97,,,,
update,22272,174,184,,,5773.75048828125,0.07284113764762878,11547.36328125,0.38875892758369446
episode,22339,175,184,-110.31500000000014,117,,,,
update,22400,175,185,,,7377.14501953125,-0.027753358706831932,14754.353515625,0.3676018714904785
episode,22455,176,185,-175.53399999999993,116,,,,
episode,22520,176,186,-212.28199999999998,65,,,,
update,22528,176,187,,,8455.552734375,-0.013347444124519825,16911.138671875,0.3035489320755005
episode,22637,177,187,-100.16199999999989,117,,,,
update,22656,177,188,,,3484.511474609375,-0.004094995558261871,6969.037109375,0.28348657488822937
episode,22738,178,188,-131.04099999999985,101,,,,
update,22784,178,189,,,6464.6357421875,-0.055623698979616165,12929.388671875,0.2818761467933655
episode,22834,179,189,-241.26800000000006,96,,,,
episode,22908,179,190,-319.565,74,,,,
update,22912,179,191,,,5915.59619140625,0.0020833509042859077,11831.1923828125,0.19987666606903076
episode,22982,180,191,-211.17700000000016,74,,,,
