row_type,step,update,episode,episode_return,episode_length,loss,policy_loss,value_loss,entropy
episode,21543,169,109,-1562.7739999999933,531,,,,
update,21632,169,110,,,5546.98583984375,2.3965811729431152,11089.18359375,0.25097689032554626
update,21760,170,110,,,918.9942016601562,-0.028699379414319992,1838.04638671875,0.03259386867284775
update,21888,171,110,,,481.462890625,-0.0016251015476882458,962.9290771484375,0.0025340639986097813
update,22016,172,110,,,401.6849060058594,-0.00012030021753162146,803.3700561523438,5.527066605282016e-05
episode,22070,173,110,-1313.1389999999944,527,,,,
update,22144,173,111,,,9444.72265625,0.3695884943008423,18888.7109375,0.1771349012851715
update,22272,174,111,,,3731.122802734375,-1.655861735343933,7465.5576171875,0.025004880502820015
update,22400,175,111,,,598.1465454101562,-0.0009129068348556757,1196.294921875,0.00019123945094179362
update,22528,176,111,,,83.5042495727539,3.1550680432701483e-06,167.0084991455078,2.713599315029569e-05
episode,22587,177,111,-1712.362999999993,517,,,,
update,22656,177,112,,,5187.97900390625,2.5690419673919678,10370.8251953125,0.22894775867462158
update,22784,178,112,,,808.7023315429688,-0.030800068750977516,1617.466796875,0.022175690159201622
update,22912,179,112,,,279.8030700683594,-8.295241423184052e-05,559.6063232421875,7.318390998989344e-05
update,23040,180,112,,,337.38134765625,-0.0015399365220218897,674.7657470703125,0.0003351331106387079
episode,23109,181,112,-1712.6409999999926,522,,,,
update,23168,181,113,,,4181.5078125,-0.7755619883537292,8364.5693359375,0.14930923283100128
update,23296,182,113,,,1698.7166748046875,-0.1383894979953766,3397.71044921875,0.016420401632785797
update,23424,183,113,,,362.5429382324219,-0.0002547673648223281,725.0863647460938,9.222098015015945e-05
update,23552,184,113,,,1236.853271484375,-12.456619262695312,2498.619873046875,0.0002554758684709668
episode,23601,185,113,-1672.8129999999926,492,,,,
update,23680,185,114,,,8499.17578125,-1.100392460823059,17000.5546875,0.08633808046579361
update,23808,186,114,,,2380.8125,-0.5520802140235901,4762.7294921875,0.022741680964827538
update,23936,187,114,,,760.205322265625,-6.672599556623027e-05,1520.4107666015625,5.03294104419183e-05
update,24064,188,114,,,209.70330810546875,-0.0,419.4066162109375,8.201780588024121e-07
episode,24112,189,114,-1703.3339999999923,511,,,,
update,24192,189,115,,,8205.1328125,2.34680438041687,16405.57421875,0.10952076315879822
update,24320,190,115,,,2145.07666015625,-1.5332286357879639,4293.2197265625,0.008586466312408447
update,24448,191,115,,,226.35169982910156,-2.753004082478583e-05,452.7034606933594,1.5624604202457704e-05
update,24576,192,115,,,352.0424499511719,-7.831273251213133e-06,704.0848999023438,6.137541276984848e-06
episode,24629,193,115,-1457.371999999994,517,,,,
update,24704,193,116,,,7638.82373046875,0.6291041374206543,15276.3916015625,0.08376797288656235
update,24832,194,116,,,1955.5885009765625,-3.2302608489990234,3917.638671875,0.06296952068805695
update,24960,195,116,,,344.58990478515625,-0.0,689.1798095703125,1.2728586398225161e-06
update,25088,196,116,,,239.03994750976562,-1.1965174962824676e-05,478.0799255371094,5.331005013431422e-06
episode,25146,197,116,-1667.4189999999924,517,,,,
update,25216,197,117,,,7111.37890625,3.7407660484313965,14215.279296875,0.1268402338027954
update,25344,198,117,,,1439.9725341796875,-0.7418073415756226,2881.429443359375,0.03528057411313057
update,25472,199,117,,,378.1496887207031,-1.0541871233726852e-05,756.2993774414062,5.565710580412997e-06
update,25600,200,117,,,131.75015258789062,-0.0,263.50030517578125,9.120778088345105e-08
episode,25669,201,117,-1922.6489999999926,523,,,,
update,25728,201,118,,,8306.35546875,-0.10795670747756958,16612.9296875,0.09655490517616272
update,25856,202,118,,,1842.3843994140625,-1.7747677564620972,3688.31982421875,0.07150149345397949
update,25984,203,118,,,207.0880126953125,-4.039423401991371e-06,414.176025390625,3.6944422845408553e-06
update,26112,204,118,,,181.05953979492188,-0.0,362.11907958984375,1.385963628308673e-06
episode,26196,205,118,-1597.7139999999924,527,,,,
update,26240,205,119,,,7763.06298828125,1.138749361038208,15523.8505859375,0.0821220874786377
update,26368,206,119,,,535.5205078125,4.099050045013428,1062.845703125,0.14340372383594513
update,26496,207,119,,,782.9644165039062,-1.4864845275878906,1568.902587890625,0.03492777794599533
update,26624,208,119,,,102.42127990722656,-0.0,204.84255981445312,8.768412129711578e-08
episode,26721,209,119,-1298.7899999999954,525,,,,
update,26752,209,120,,,4889.71826171875,-1.9998160600662231,9783.4375,0.04590573161840439
update,26880,210,120,,,2311.298095703125,0.7247248888015747,4621.14892578125,0.10198161005973816
update,27008,211,120,,,1006.3139038085938,0.8274462819099426,2010.9732666015625,0.020007966086268425
update,27136,212,120,,,213.293212890625,-0.0,426.58642578125,4.927010195387993e-07
episode,27240,213,120,-1858.139999999991,519,,,,
update,27264,213,121,,,8409.0283203125,-1.8949756622314453,16821.84765625,0.06696221232414246
update,27392,214,121,,,1245.173583984375,0.37626320123672485,2489.59521484375,0.02182757668197155
update,27520,215,121,,,540.8216552734375,-0.0009552505216561258,1081.645263671875,0.00039863059646449983
update,27648,216,121,,,321.5155029296875,-0.00492097670212388,643.0408325195312,0.0013798793079331517
episode,27764,217,121,-1322.431999999993,524,,,,
update,27776,217,122,,,3125.145263671875,-0.22145086526870728,6250.73486328125,0.06403613835573196
update,27904,218,122,,,979.9498901367188,-0.12552380561828613,1960.1534423828125,0.12992534041404724
update,28032,219,122,,,1484.3223876953125,-0.0008806218975223601,2968.646484375,0.0017564643640071154
update,28160,220,122,,,218.48863220214844,-0.0008609470096416771,436.97900390625,0.0015296621713787317
episode,28286,221,122,-1627.5339999999928,522,,,,
update,28288,221,123,,,5024.34033203125,0.014645086601376534,10048.6513671875,0.014017801731824875
update,28416,222,123,,,552.5884399414062,-1.201356291770935,1107.58251953125,0.14710485935211182
update,28544,223,123,,,917.9109497070312,-0.049903154373168945,1835.9219970703125,0.01039833016693592
update,28672,224,123,,,81.94032287597656,-0.004855657462030649,163.89051818847656,0.008664662018418312
update,28800,225,123,,,146.8910675048828,-0.02538633532822132,293.8331298828125,0.011258892714977264
episode,28813,226,123,-1687.8869999999927,527,,,,
update,28928,226,124,,,5372.4697265625,4.3287248611450195,10736.2861328125,0.2131679207086563
episode,28975,227,124,-424.31000000000006,162,,,,
